< 'a , 20.txt >
< ' , 20.txt >
< 'neath , 8.txt >
< 'little , 20.txt >
< ' , 20.txt >
< 's , 8.txt >
< 'em , 9.txt >
< 'because , 20.txt >
< 'i , 18.txt >
< ' , 18.txt >
< 'em , 12.txt >
< 'twas , 8.txt >
< 's , 15.txt >
< 'parlour , 12.txt >
< 'twas , 8.txt >
< 'the , 11.txt >
< ' , 11.txt >
< 'my , 20.txt >
< ' , 20.txt >
< 'theater' , 3.txt >
< ' , 6.txt >
< ' , 6.txt >
< 'mid , 8.txt >
< 'neath , 8.txt >
< 'gainst , 8.txt >
< 'tis , 8.txt >
< 'neath , 8.txt >
< 'em , 12.txt >
< 'neath , 8.txt >
< 'the , 13.txt >
< 'but , 16.txt >
< ' , 16.txt >
< 'the , 18.txt >
< ' , 18.txt >
< 'holding , 16.txt >
< 's , 15.txt >
< 'diana's , 11.txt >
< ' , 11.txt >
< 'mercy' , 11.txt >
< 'gainst , 8.txt >
< 'twas , 8.txt >
< 'neath , 8.txt >
< 'all , 13.txt >
< ' , 13.txt >
< 'i'm , 13.txt >
< 'what , 12.txt >
< ' , 12.txt >
< 'i , 12.txt >
< ' , 12.txt >
< 'do , 12.txt >
< ' , 12.txt >
< 'to , 16.txt >
< 'i , 12.txt >
< ' , 12.txt >
< ' , 16.txt >
< 'in , 16.txt >
< ' , 16.txt >
< 'let , 16.txt >
< ' , 16.txt >
< 'if , 16.txt >
< ' , 16.txt >
< 'vile , 16.txt >
< ' , 16.txt >
< 'study , 16.txt >
< 'cutting , 16.txt >
< ' , 16.txt >
< 'let , 16.txt >
< ' , 16.txt >
< 'be , 16.txt >
< ' , 16.txt >
< 'why , 16.txt >
< ' , 16.txt >
< 'study , 16.txt >
< ' , 16.txt >
< 'if , 16.txt >
< 'the , 11.txt >
< ' , 16.txt >
< ' , 11.txt >
< 'no , 16.txt >
< ' , 16.txt >
< 'we , 16.txt >
< ' , 16.txt >
< 'verily , 16.txt >
< ' , 16.txt >
< 'keep , 16.txt >
< 'tis , 8.txt >
< 'unspotted , 16.txt >
< ' , 16.txt >
< 'whatsoever , 16.txt >
< ' , 16.txt >
< 'twas , 8.txt >
< 'doth , 16.txt >
< ' , 16.txt >
< 'the , 16.txt >
< ' , 16.txt >
< 'as , 16.txt >
< ' , 16.txt >
< 'either , 16.txt >
< ' , 16.txt >
< 'we , 16.txt >
< ' , 16.txt >
< '0 , 16.txt >
< ' , 16.txt >
< 'all , 16.txt >
< ' , 16.txt >
< 'thou , 16.txt >
< ' , 16.txt >
< 'thou , 16.txt >
< ' , 16.txt >
< 'be , 16.txt >
< 'violently , 16.txt >
< ' , 6.txt >
< 'these , 6.txt >
< 'functions , 12.txt >
< ' , 12.txt >
< 'twas , 8.txt >
< 'neath , 8.txt >
< 'such , 16.txt >
< ' , 16.txt >
< 'such , 16.txt >
< ' , 16.txt >
< 'memory , 12.txt >
< ' , 12.txt >
< 'memory' , 12.txt >
< 'if , 16.txt >
< ' , 16.txt >
< 'a , 16.txt >
< ' , 16.txt >
< ' , 12.txt >
< 'am , 20.txt >
< 'em , 15.txt >
< 'em , 15.txt >
< 'chicken' , 12.txt >
< 'knock , 12.txt >
< ' , 12.txt >
< 'twas , 8.txt >
< 'em , 15.txt >
< 'em , 15.txt >
< 'twas , 8.txt >
< 'i , 16.txt >
< 'twas , 8.txt >
< 'em , 15.txt >
< 'em , 15.txt >
< 'cause , 15.txt >
< 'em , 15.txt >
< 'em , 15.txt >
< 'em , 15.txt >
< 'em , 15.txt >
< 'this , 6.txt >
< 'lucille , 13.txt >
< 'way , 13.txt >
< ' , 13.txt >
< 'play , 12.txt >
< ' , 12.txt >
< 'the , 11.txt >
< ' , 11.txt >
< 'em , 12.txt >
< 'worm' , 11.txt >
< ' , 10.txt >
< 'wyrm , 11.txt >
< ' , 11.txt >
< 'waurms , 11.txt >
< ' , 11.txt >
< 'ormur , 11.txt >
< ' , 11.txt >
< 'wurm , 11.txt >
< ' , 11.txt >
< 'oh , 13.txt >
< ' , 13.txt >
< 'this , 13.txt >
< ' , 13.txt >
< 'worm , 11.txt >
< 'laidly , 11.txt >
< 'worm' , 11.txt >
< 'long , 15.txt >
< 'so , 11.txt >
< 'you , 13.txt >
< ' , 11.txt >
< 'it , 11.txt >
< ' , 13.txt >
< 'n' , 15.txt >
< ' , 11.txt >
< 'worms , 11.txt >
< ' , 11.txt >
< 's , 5.txt >
< 'neath , 8.txt >
< 'master , 12.txt >
< ' , 12.txt >
< 'play , 12.txt >
< ' , 12.txt >
< 'master , 12.txt >
< ' , 12.txt >
< 'we , 12.txt >
< ' , 12.txt >
< 'twas , 8.txt >
< 'twas , 8.txt >
< 'twas , 8.txt >
< 'propaganda , 17.txt >
< 'n' , 15.txt >
< 'the , 11.txt >
< 'tis , 8.txt >
< 'em , 15.txt >
< 'thirteen's , 18.txt >
< ' , 18.txt >
< 'thirteen's , 18.txt >
< ' , 18.txt >
< 'em , 15.txt >
< 'em , 15.txt >
< 'twas , 8.txt >
< 'em , 15.txt >
< 'em , 15.txt >
< 'round , 4.txt >
< 'n' , 15.txt >
< 'n' , 15.txt >
< 'twas , 8.txt >
< 'em , 15.txt >
< 'angel , 15.txt >
< ' , 15.txt >
< 'em , 15.txt >
< 'flu , 9.txt >
< 'disturbed' , 11.txt >
< 'mid , 8.txt >
< 'twas , 8.txt >
< ' , 10.txt >
< ' , 10.txt >
< 'fore , 15.txt >
< 'twas , 8.txt >
< 'smatter , 15.txt >
< 'just , 20.txt >
< ' , 20.txt >
< 'scare , 20.txt >
< 'twas , 8.txt >
< 'neath , 8.txt >
< 'i , 20.txt >
< ' , 20.txt >
< 'oh , 20.txt >
< ' , 20.txt >
< 'i , 20.txt >
< ' , 20.txt >
< 'oh , 20.txt >
< ' , 20.txt >
< 'i'll , 20.txt >
< ' , 20.txt >
< 'how , 20.txt >
< ' , 20.txt >
< 'fine , 20.txt >
< ' , 20.txt >
< 'relatives' , 12.txt >
< 'sorry , 20.txt >
< ' , 20.txt >
< 'and , 20.txt >
< ' , 20.txt >
< 'mid , 8.txt >
< 'em , 9.txt >
< 'now , 12.txt >
< ' , 12.txt >
< 'phone , 13.txt >
< 'neath , 8.txt >
< 'hello , 20.txt >
< ' , 20.txt >
< 'hi , 20.txt >
< ' , 20.txt >
< 'the , 11.txt >
< ' , 11.txt >
< 'hush , 20.txt >
< ' , 20.txt >
< 'the , 20.txt >
< ' , 20.txt >
< 'the , 20.txt >
< ' , 20.txt >
< 'abandon , 20.txt >
< 'good' , 11.txt >
< 'evil' , 11.txt >
< ' , 20.txt >
< 'twas , 8.txt >
< 'survivals , 11.txt >
< ' , 11.txt >
< 'here , 20.txt >
< ' , 20.txt >
