< a , 13.txt >
< australia , 13.txt >
< ashes , 17.txt >
< author , 13.txt >
< a , 12.txt >
< aurelius , 16.txt >
< after , 18.txt >
< aesop's , 4.txt >
< at , 17.txt >
< attempts , 18.txt >
< aurelius , 16.txt >
< are , 18.txt >
< a , 9.txt >
< are , 14.txt >
< anonymous , 8.txt >
< as , 5.txt >
< a , 15.txt >
 >
< as , 17.txt >
< all , 14.txt >
< are , 16.txt >
< are , 10.txt >
< a , 17.txt >
< abbie , 3.txt >
< all , 16.txt >
< all , 10.txt >
< after , 18.txt >
< albert , 5.txt >
< and , 12.txt >
< arabian , 7.txt >
< and , 4.txt >
< adam , 11.txt >
< ash , 17.txt >
< anthony , 9.txt >
< andrew , 7.txt >
< arrives , 11.txt >
< and , 22.txt >
< and , 18.txt >

< ascii , 13.txt >
< and , 4.txt >
< am , 23.txt >
< a , 5.txt >
< a , 23.txt >
< aiding , 3.txt >
< and , 4.txt >
< and , 3.txt >
< abetting , 3.txt >
< any , 14.txt >
< and , 11.txt >
< androcles , 4.txt >
< awaiting , 11.txt >
< as , 7.txt >
< arrangement , 15.txt >
< and , 4.txt >
< author , 22.txt >
< air , 2.txt >
< a , 11.txt >
< are , 24.txt >
< a , 16.txt >
< at , 12.txt >
< and , 15.txt >
< all , 24.txt >
< are , 2.txt >
< armed , 8.txt >
< at , 16.txt >
< appear , 22.txt >

< and , 18.txt >
< and , 23.txt >
< at , 20.txt >
< alex , 9.txt >
< all , 25.txt >
< against , 2.txt >
< and , 1.txt >
< articles , 5.txt >
< and , 4.txt >
< and , 23.txt >
< and , 12.txt >
< addresses , 5.txt >
< and , 5.txt >
< at , 22.txt >
< alexander , 9.txt >
< a , 2.txt >
< appear , 6.txt >
< and , 15.txt >
< approval , 19.txt >
< au , 13.txt >
< asks , 18.txt >
< alice , 15.txt >
< albert , 5.txt >
< and , 3.txt >
< ago , 10.txt >
< as , 6.txt >
< and , 8.txt >
< a , 12.txt >
< a , 11.txt >
< a , 18.txt >

< all , 23.txt >
< and , 10.txt >
< a , 5.txt >
< affection , 15.txt >
