< white , 11.txt >
< worm , 11.txt >
< was , 12.txt >
< work , 23.txt >
< world , 5.txt >
< when , 1.txt >
< white , 11.txt >
< wake , 1.txt >
< watching , 17.txt >
< worm , 11.txt >
< world , 14.txt >
< world , 10.txt >
< world , 16.txt >
< was , 6.txt >
< warmth , 2.txt >
< worn , 17.txt >
< works , 21.txt >
< warmth , 1.txt >
< whenever , 18.txt >
< wolf , 4.txt >
< where , 17.txt >
< windus , 6.txt >
< with , 17.txt >
< with , 15.txt >
< women , 7.txt >
< working , 10.txt >
< was , 13.txt >
< which , 12.txt >
< wholesale , 3.txt >
< world , 24.txt >
< was , 17.txt >
< were , 6.txt >
< world , 25.txt >
< without , 19.txt >
< with , 1.txt >
< would , 6.txt >
< we , 8.txt >
< we , 16.txt >
< was , 12.txt >
< wild , 2.txt >
< warren , 9.txt >
< what , 8.txt >
< which , 17.txt >
< were , 2.txt >
< was , 21.txt >
< was , 12.txt >
< who , 7.txt >
< work , 10.txt >
< wolf , 4.txt >
< won , 8.txt >
< will , 10.txt >
< when , 11.txt >
< with , 5.txt >
< was , 6.txt >
< were , 15.txt >
< will , 22.txt >
< without , 14.txt >
< which , 13.txt >

< waiting , 18.txt >
< we , 25.txt >
< when , 15.txt >
< was , 15.txt >
< with , 12.txt >
< write , 11.txt >
< were , 20.txt >
< wood , 4.txt >
< when , 24.txt >
< wet , 7.txt >
< with , 12.txt >
< which , 6.txt >
< war , 19.txt >
< which , 22.txt >
< we , 13.txt >
< was , 21.txt >
< work , 2.txt >
< we , 10.txt >
< when , 16.txt >
< was , 6.txt >
< whirlpool , 5.txt >
< when , 15.txt >
< with , 13.txt >

< wolf , 4.txt >
< waxed , 8.txt >
< welkin , 8.txt >
< we , 16.txt >
< which , 22.txt >
< wealth , 8.txt >
< without , 24.txt >
< work , 18.txt >
< written , 24.txt >
< with , 18.txt >
< wife , 20.txt >

< were , 12.txt >
< were , 15.txt >
>
< watching , 20.txt >
< while , 2.txt >
< weapons , 18.txt >
< world , 13.txt >
< was , 15.txt >
< world , 16.txt >
< worn , 1.txt >
< watched , 20.txt >
< were , 7.txt >
< written , 7.txt >
< when , 25.txt >
< was , 6.txt >
< welcome , 10.txt >
< who , 8.txt >
< with , 11.txt >
< which , 22.txt >
< whom , 11.txt >
< wall , 3.txt >
< world , 10.txt >
< where , 21.txt >
< well , 19.txt >
< was , 21.txt >
< whale , 8.txt >
< was , 15.txt >
< woods , 18.txt >
< we , 18.txt >
< wander , 18.txt >
< watch , 2.txt >
< was , 6.txt >
< when , 15.txt >
< was , 17.txt >
< without , 25.txt >
< watch , 20.txt >
< written , 25.txt >
< which , 22.txt >
< world , 5.txt >
